Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_Push,SW_SPST_TL3342,157.4,-155.3,0,bottom
C1,1u,C_0402_1005Metric,136.68,-145.6,0,bottom
C2,1u,C_0402_1005Metric,128.615683,-134.188634,90,bottom
C3,1u,C_0402_1005Metric,126.015683,-139.2,180,bottom
C4,22p,C_0402_1005Metric,133.815604,-166.020357,135,bottom
C5,22p,C_0402_1005Metric,130.171978,-166.301882,45,bottom
C6,1u,C_0402_1005Metric,127.872286,-148.872202,90,bottom
C7,100n,C_0402_1005Metric,128.779491,-161.611327,315,bottom
C8,10u,C_0603_1608Metric,124.8,-148,315,bottom
C9,1u,C_0402_1005Metric,125.450729,-151.376872,0,bottom
C10,100n,C_0402_1005Metric,129.876241,-162.014885,315,bottom
C11,100n,C_0402_1005Metric,124.2,-156.073473,0,bottom
C12,100n,C_0402_1005Metric,136.283171,-152.043246,225,bottom
C13,100n,C_0402_1005Metric,131.688359,-148.569677,90,bottom
C14,100n,C_0402_1005Metric,130.584681,-148.589812,90,bottom
C15,100n,C_0402_1005Metric,126.717208,-148.872341,90,bottom
C16,100n,C_0402_1005Metric,136.6,-156.8,225,bottom
D1,D_Small,D_SOD-123,39.6875,-60.325,90,bottom
D2,D_Small,D_SOD-123,39.6875,-84.1375,90,bottom
D3,D_Small,D_SOD-123,44.45,-103.1875,90,bottom
D4,D_Small,D_SOD-123,42.06875,-122.2375,270,bottom
D5,D_Small,D_SOD-123,51.59375,-141.2875,90,bottom
D6,D_Small,D_SOD-123,44.45,-160.3375,90,bottom
D7,D_Small,D_SOD-123,58.7375,-84.1375,90,bottom
D8,D_Small,D_SOD-123,68.2625,-103.1875,90,bottom
D9,D_Small,D_SOD-123,73.025,-122.2375,90,bottom
D10,D_Small,D_SOD-123,63.5,-60.325,90,bottom
D11,D_Small,D_SOD-123,77.7875,-84.1375,90,bottom
D12,D_Small,D_SOD-123,87.3125,-103.1875,90,bottom
D13,D_Small,D_SOD-123,92.075,-122.2375,90,bottom
D14,D_Small,D_SOD-123,82.55,-141.2875,90,bottom
D15,D_Small,D_SOD-123,94.45625,-160.3375,90,bottom
D16,D_Small,D_SOD-123,82.55,-60.325,90,bottom
D17,D_Small,D_SOD-123,96.8375,-84.1375,90,bottom
D18,D_Small,D_SOD-123,106.3625,-103.1875,90,bottom
D19,D_Small,D_SOD-123,111.125,-122.2375,90,bottom
D20,D_Small,D_SOD-123,101.6,-141.2875,90,bottom
D21,D_Small,D_SOD-123,101.6,-60.325,90,bottom
D22,D_Small,D_SOD-123,115.8875,-84.1375,90,bottom
D23,D_Small,D_SOD-123,125.4125,-103.1875,90,bottom
D24,D_Small,D_SOD-123,130.175,-122.2375,90,bottom
D25,D_Small,D_SOD-123,120.65,-141.2875,90,bottom
D26,D_Small,D_SOD-123,120.65,-60.325,90,bottom
D27,D_Small,D_SOD-123,134.9375,-84.1375,90,bottom
D28,D_Small,D_SOD-123,144.4625,-103.1875,90,bottom
D29,D_Small,D_SOD-123,149.225,-122.2375,90,bottom
D30,D_Small,D_SOD-123,139.7,-141.2875,90,bottom
D31,D_Small,D_SOD-123,144.4625,-60.325,90,bottom
D32,D_Small,D_SOD-123,153.9875,-84.1375,90,bottom
D33,D_Small,D_SOD-123,163.5125,-103.1875,90,bottom
D34,D_Small,D_SOD-123,168.275,-122.2375,90,bottom
D35,D_Small,D_SOD-123,158.75,-141.2875,90,bottom
D36,D_Small,D_SOD-123,163.5125,-60.325,90,bottom
D37,D_Small,D_SOD-123,173.0375,-84.1375,90,bottom
D38,D_Small,D_SOD-123,182.5625,-103.1875,90,bottom
D39,D_Small,D_SOD-123,187.325,-122.2375,90,bottom
D40,D_Small,D_SOD-123,177.8,-141.2875,90,bottom
D41,D_Small,D_SOD-123,175.41875,-160.3375,90,bottom
D42,D_Small,D_SOD-123,182.5625,-60.325,90,bottom
D43,D_Small,D_SOD-123,192.0875,-84.1375,90,bottom
D44,D_Small,D_SOD-123,201.6125,-103.1875,90,bottom
D45,D_Small,D_SOD-123,206.375,-122.2375,90,bottom
D46,D_Small,D_SOD-123,196.85,-141.2875,90,bottom
D47,D_Small,D_SOD-123,201.6125,-60.325,90,bottom
D48,D_Small,D_SOD-123,211.1375,-84.1375,90,bottom
D49,D_Small,D_SOD-123,220.6625,-103.1875,90,bottom
D50,D_Small,D_SOD-123,225.425,-122.2375,90,bottom
D51,D_Small,D_SOD-123,215.9,-141.2875,90,bottom
D52,D_Small,D_SOD-123,225.425,-60.325,90,bottom
D53,D_Small,D_SOD-123,230.1875,-84.1375,90,bottom
D54,D_Small,D_SOD-123,239.7125,-103.1875,90,bottom
D55,D_Small,D_SOD-123,244.475,-122.2375,90,bottom
D56,D_Small,D_SOD-123,234.95,-141.2875,90,bottom
D57,D_Small,D_SOD-123,244.475,-60.325,90,bottom
D58,D_Small,D_SOD-123,249.2375,-84.1375,90,bottom
D59,D_Small,D_SOD-123,258.7625,-103.1875,90,bottom
D60,D_Small,D_SOD-123,263.525,-122.2375,90,bottom
D61,D_Small,D_SOD-123,254,-141.2875,90,bottom
D62,D_Small,D_SOD-123,263.525,-60.325,90,bottom
D63,D_Small,D_SOD-123,268.2875,-84.1375,90,bottom
D64,D_Small,D_SOD-123,277.8125,-103.1875,90,bottom
D65,D_Small,D_SOD-123,256.38125,-160.3375,90,bottom
D66,D_Small,D_SOD-123,282.575,-60.325,90,bottom
D67,D_Small,D_SOD-123,292.1,-141.2875,90,bottom
D68,D_Small,D_SOD-123,308.76875,-60.325,90,bottom
D69,D_Small,D_SOD-123,299.24375,-84.1375,90,bottom
D70,D_Small,D_SOD-123,304.00625,-103.1875,90,bottom
D71,D_Small,D_SOD-123,296.8625,-122.2375,90,bottom
D72,D_Small,D_SOD-123,306.3875,-160.3375,90,bottom
D73,D_Small,D_SOD-123,334.9625,-60.325,90,bottom
D74,D_Small,D_SOD-123,334.9625,-84.1375,90,bottom
D75,D_Small,D_SOD-123,334.9625,-103.1875,90,bottom
D76,D_Small,D_SOD-123,334.9625,-122.2375,90,bottom
D77,D_Small,D_SOD-123,334.9625,-160.3375,90,bottom
D78,D_Small,D_SOD-123,349.25,-60.325,270,bottom
D79,D_Small,D_SOD-123,354.0125,-84.1375,90,bottom
D80,D_Small,D_SOD-123,354.0125,-103.1875,90,bottom
D81,D_Small,D_SOD-123,354.0125,-122.2375,90,bottom
D82,D_Small,D_SOD-123,354.0125,-141.2875,90,bottom
D83,D_Small,D_SOD-123,354.0125,-160.3375,90,bottom
D84,D_Small,D_SOD-123,373.0625,-60.325,90,bottom
D85,D_Small,D_SOD-123,373.0625,-84.1375,90,bottom
D86,D_Small,D_SOD-123,373.0625,-103.1875,90,bottom
D87,D_Small,D_SOD-123,373.0625,-122.2375,90,bottom
D88,D_Small,D_SOD-123,373.0625,-160.3375,90,bottom
D89,LED_Small,PinHeader_1x02_P2.54mm_Horizontal,44.455,-113.2625,90,top
D90,LED_Small,PinHeader_1x02_P2.54mm_Horizontal,351.63625,-51.35,90,top
F1,500mA,Fuse_1206_3216Metric,315.9125,-65.6875,270,bottom
J3,Conn_01x04,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,319.2,-116.08076,180,bottom
R1,27R,R_0402_1005Metric,130.031389,-146.32405,270,bottom
R2,27R,R_0402_1005Metric,128.987639,-146.32405,90,bottom
R3,5.1k,R_0402_1005Metric,113.4,-156.89,270,bottom
R4,5.1k,R_0402_1005Metric,322.2625,-60.13125,180,bottom
R5,5.1k,R_0402_1005Metric,316.70625,-60.13125,0,bottom
R6,1k,R_0402_1005Metric,152,-157.4,0,bottom
R7,5.1k,R_0402_1005Metric,152,-155.2,0,bottom
R8,5.1k,R_0402_1005Metric,151.993634,-156.314685,180,bottom
R9,1k,R_0402_1005Metric,130.601235,-162.732658,135,bottom
R10,120,R_0402_1005Metric,43.2,-115.2,0,bottom
R12,120,R_0402_1005Metric,355.88375,-55.5625,0,bottom
RST1,SW_Push,SW_SPST_TL3342,108.05,-155.3,0,bottom
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,130.818889,-155.06155,0,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,142.760647,-147.146504,0,bottom
U3,XC6206PxxxMR,SOT-23-3,125.965683,-136.251134,90,bottom
U4,SRV05-4,SOT-23-6-routable,319.88125,-63.131063,0,bottom
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,132.17509,-164.373927,135,bottom
